Service,Performance Measure Index,Performance Measure  Name,Alignment with Council Priority Area,2023 Value,2024 Value,Expected Future Value,Story behind the number,Performance Measure Status,Level of alignment,Approved by Service Director on
Affordable Housing,Performance Measure 1,Number of new City-owned affordable units  developed through leveraged federal or provincial  funding,Housing,0,0,329,"The City continues to leverage federal and provincial funding for new development and redevelopment. The data for this measure is counted when the units are opened for occupancy. City projects in development are progressing, but no new units will be opened in 2024. The Affordable Housing Program aims to deliver up to 400 new City-owned housing developments and/or regenerated homes by 2026.",Progressing as planned,Primary,07/04/2024
Affordable Housing,Performance Measure 2,Number of new affordable units planned for development by non-market housing providers that are supported through City initiatives,Housing,227,433,2000,"As of Q1, 29 new non-market housing units have been approved at the development permit stage. Thirteen of these units were supported through the City’s Housing Incentive Program. Considering the number of City-led initiatives and key programs, including the allocation of eight parcels of land to non-profit providers to create over 400 non-market units, the number of units in the development permit stage is expected to increase throughout the rest of 2024.",Progressing as planned,Primary,07/04/2024
Affordable Housing,Performance Measure 3,Applicants' level of satisfaction with the  Home Program (per cent),Housing,86,0,75,,Not reported,Secondary,07/04/2024
Affordable Housing,Performance Measure 4,Number of affordable housing units built through the Non-Market Housing Land Sale,Housing,57,0,119,,Not reported,Primary,07/04/2024
Affordable Housing,Performance Measure 5,Applicants' level of satisfaction with the  Housing Incentive Program (per cent),Housing,100,0,75,,Not reported,Secondary,07/04/2024
Appeals & Tribunals,Performance Measure 1,Decision Timeliness Rate (per cent of decisions rendered on-time),Not Applicable,55,93,90,"Work has been done by Assessment Review Board leadership to prioritize the issuance of decisions within the statutory timelines. It is still early in the Assessment Review Board hearing season, and it is expected that more complex cases will be heard later in the year.",Progressing as planned,Not Applicable,07/10/2024
Appeals & Tribunals,Performance Measure 2,Hearing Participants' Rate of Satisfaction with process information (per cent),Not Applicable,67,41,85,Participants who reported they were not satisfied with the customer service they received also included comments indicating dissatisfaction with the hearing process and outcomes.,Not progressing as planned,Not Applicable,07/10/2024
Appeals & Tribunals,Performance Measure 3,Assessment Review Board decision publication on-time rate (per cent),Not Applicable,100,100,98,The City Clerk’s Office has seven days to publish decisions of the Assessment Review Board. Staff cross-training has been effective in allowing for the timely publishing of decisions.,Progressing as planned,Not Applicable,07/10/2024
Appeals & Tribunals,Performance Measure 4,Cases filed with a tribunal on which a decision is issued (per cent cases filed),Not Applicable,22,3,20,"The Assessment Review Board has the largest number of files of all the City’s tribunals. Withdrawals and mutual agreements are continuing at a high volume, resulting in a low number of files being heard. It is anticipated that this number will increase as the hearing season progresses and more files will be heard in the third and fourth quarter of 2024.",Progressing as planned,Not Applicable,07/10/2024
Appeals & Tribunals,Performance Measure 5,Tribunal decisions overturned by an appeal body in a calendar year (per cent),Not Applicable,0,0,0,Most Tribunal decisions are not appealed to a higher court.,Progressing as planned,Not Applicable,07/10/2024
Arts & Culture,Performance Measure 1,Public Art projects delivered by Calgary  Arts Development (per cent),Social Equity,50,60,90,"Major projects working towards completion in Q3 include the installation of four artworks in northeast Calgary and the mural panel project in Chinatown, and the development of an exhibit of Indigenous artworks is scheduled for display in Q4.
 
The City will continue to steward the public art collection and deliver on Truth and Reconciliation through art, while Calgary Arts Development Authority (CADA) will commission new work. 

CADA public art has commissioned an artist to begin several projects approved by the Interdepartmental Public Art Team.",Progressing as planned,Primary,07/04/2024
Arts & Culture,Performance Measure 2,Amount of City funding per festival and  event attendee (dollars),Social Equity,2,3,5,"The mid-year dollar amount is not representative of the year-end total because most events are delivered in the last half of the year.

Due to the timing of post-event reports, the mid-year amount is a predicted estimate as of June 12. This is based on expected event totals for the first half of the year.

Festival and Event Subsidy Program funding continued to build on our 2023 goal of increasing the number of low-cost or no-cost festivals and events. These events are more accessible and improve equitable access for Calgarians and visitors.",Progressing as planned,Secondary,07/04/2024
Arts & Culture,Performance Measure 3,Number of community organizations receiving Arts & Culture microgrants,Social Equity,94,86,85,"Eighty-six organizations were approved so far in 2024 for Arts and Culture Microgrant funding, 50 of which are first-time recipients. $1.03 million in funding will be awarded in 2024, supporting over 94 local initiatives. 

As of May 31, eight initiatives approved in 2024 were delivered for $35,681, engaging 3,487 attendees and 345 volunteers. Recipients worked with 116 community organizations and 85 local businesses, with 259 local artists supported.

The program supports as many organizations as possible, increasing the diversity of opportunities offered to Calgarians.",Progressing as planned,Primary,07/04/2024
Arts & Culture,Performance Measure 4,Calgarians' satisfaction with Arts & Culture (per cent),Social Equity,87,0,85,,Not reported,Secondary,07/04/2024
Building Safety,Performance Measure 1,Building permit applications where issuance timeline commitments were met (per cent),Housing,64,49,80,"Performance in meeting timeline commitments is sensitive to service demand and was significantly impacted by a 23% year-over-year increase in permit applications (over 14,000) received during the first six months of the year.  In the time period, 20% more permits were successfully issued than in the same period last year. To address increasing permit volumes, several initiatives have been undertaken: 1) Additional staff have been added to key areas of the business. 2) The City has expanded the Codes Office to support officers with interpretations of building codes.  3) Two new ""Guides to Complete Application"" have been released for customers.",Progressing as planned,Primary,07/11/2024
